loc_id,city??,CA,USA,year??,lat??,lon??,823,-8,8760;;;
Tantan (PVGIS edited representative file);;;
Temperature,Pressure,Direction,Speed;;;
C,atm,degrees,m/s;;;
50,50,50,50;;;
11.35;4.96881160759239;116;0.988995805576116
10.64;4.78658135303521;123;0.988995805576116
9.93;4.60435109847803;129;0.988699728596102
9.22;4.42212084392086;131;0.988798420922773
8.51;4.23989058936368;130;0.988699728596102
7.8;4.06980901844365;128;0.988699728596102
7.09;3.88757876388647;124;0.988995805576116
6.38;3.70534850932929;128;0.989982728842832
7.27;4.85947345485808;130;0.990476190476191
9.31;4.60435109847803;132;0.991364421416235
12.92;5.52765105490107;132;0.991857883049593
15.53;6.19582865494406;129;0.992450037009623
17.38;6.03789576766117;124;0.991956575376264
18.67;5.35756948398104;113;0.991364421416235
19.44;4.60435109847803;97;0.990476190476191
19.84;4.27633664027511;77;0.989982728842832
19.78;4.44641821119515;56;0.989785344189489
18.87;5.44261026944105;32;0.989884036516161
16.82;6.03789576766117;22;0.990180113496176
14.91;6.19582865494406;24;0.990673575129534
13.72;5.61269184036109;30;0.991265729089563
12.81;4.77443266939807;36;0.991561806069578
12.04;3.85113271297503;42;0.992055267702936
11.16;3.18295511293205;47;0.992252652356279
10.29;2.84279197109198;52;0.992252652356279
9.63;2.68485908380909;57;0.991857883049593
8.92;2.68485908380909;62;0.991167036762892
8.38;2.76989986926911;67;0.99106834443622
7.86;2.76989986926911;75;0.990673575129534
7.32;2.76989986926911;88;0.990673575129534
6.58;2.84279197109198;106;0.990969652109548
6.2;2.927832756552;112;0.991857883049593
5.72;3.09791432747203;123;0.992252652356279
7.18;2.34469594196903;134;0.992844806316309
11.91;2.17461437104899;137;0.99353565260301
14.94;1.76155912738606;126;0.993831729583025
16.89;1.59147755646602;124;0.993140883296324
18.3;1.00834074188305;125;0.992252652356279
19.21;0.413055243662937;55;0.991265729089563
19.72;1.42139598554599;354;0.990574882802862
19.68;2.84279197109198;350;0.990476190476191
18.67;4.77443266939807;352;0.990574882802862
16.73;5.27252869852102;356;0.990772267456205
14.94;4.85947345485808;5;0.990673575129534
13.79;4.02121428389506;18;0.99106834443622
12.81;3.18295511293205;34;0.991265729089563
11.77;2.51477751288906;50;0.991167036762892
10.63;2.17461437104899;69;0.991167036762892
9.68;2.08957358558898;84;0.990969652109548
8.73;2.34469594196903;96;0.990377498149519
7.88;2.59981829834908;109;0.989884036516161
6.99;2.84279197109198;120;0.989390574882803
6.19;2.84279197109198;127;0.988995805576116
5.38;2.84279197109198;130;0.98919319022946
4.77;2.927832756552;133;0.98919319022946
4.55;3.18295511293205;136;0.989982728842832
4.33;3.18295511293205;142;0.990278805822847
6.64;2.59981829834908;146;0.990673575129534
11.92;2.17461437104899;153;0.991463113742907
15.44;1.76155912738606;140;0.991561806069578
17.28;1.67651834192604;107;0.990969652109548
18.64;1.93164069830609;78;0.989982728842832
19.61;2.34469594196903;56;0.988897113249445
20.11;3.09791432747203;36;0.988206266962744
19.79;4.60435109847803;16;0.988206266962744
18.34;6.03789576766117;10;0.988206266962744
16.26;5.78277341128112;12;0.988403651616087
14.4;5.35756948398104;19;0.988403651616087
13.42;4.44641821119515;30;0.989094497902788
12.66;3.85113271297503;35;0.989291882556131
11.95;3.52311825477211;39;0.989489267209474
11.36;3.26799589839206;43;0.989390574882803
10.68;3.01287354201201;47;0.989291882556131
9.78;2.76989986926911;55;0.988897113249445
8.9;2.51477751288906;70;0.98860103626943
8.12;2.51477751288906;92;0.988502343942758
7.34;2.76989986926911;113;0.988206266962744
6.46;3.09791432747203;125;0.988206266962744
5.69;3.09791432747203;131;0.988502343942758
5.71;3.26799589839206;127;0.989390574882803
